cropname,locationname,locationtype,cropyear,seasonname,Area (Lakh Ha),variation_percentage,variation_value,Source
Sugarcane,All India,country,1999-00,Kharif,42.2,4.064218599718867,1.6480000000000032,DA&FW
Sugarcane,All India,country,2000-01,Kharif,43.16,2.275043249520093,0.9599999999999937,DA&FW
Sugarcane,All India,country,2001-02,Kharif,44.12,2.2221192390574025,0.9590000000000032,DA&FW
Sugarcane,All India,country,2002-03,Kharif,45.2,2.4639586544564405,1.0870000000000033,DA&FW
Sugarcane,All India,country,2003-04,Kharif,39.38,-12.873039400039826,-5.819000000000003,DA&FW
Sugarcane,All India,country,2004-05,Kharif,36.62,-7.0307739183424705,-2.7689999999999984,DA&FW
Sugarcane,All India,country,2005-06,Kharif,42.02,14.753516318448726,5.402000000000001,DA&FW
Sugarcane,All India,country,2006-07,Kharif,51.51,22.58847609300997,9.491,DA&FW
Sugarcane,All India,country,2007-08,Kharif,50.55,-1.856022365457799,-0.9560000000000031,DA&FW
Sugarcane,All India,country,2008-09,Kharif,44.15,-12.656274727013761,-6.397999999999996,DA&FW
Sugarcane,All India,country,2009-10,Kharif,41.75,-5.454613398559593,-2.4084300000000027,DA&FW
Sugarcane,All India,country,2010-11,Kharif,48.85,17.01430834457404,7.102719999999998,DA&FW
Sugarcane,All India,country,2011-12,Kharif,50.38,3.1285844397009663,1.528260000000003,DA&FW
Sugarcane,All India,country,2012-13,Kharif,49.99,-0.7684527820980258,-0.387120000000003,DA&FW
Sugarcane,All India,country,2013-14,Kharif,49.93,-0.11192366066185538,-0.055949999999995725,DA&FW
Sugarcane,All India,country,2014-15,Kharif,50.67,1.4705964815590595,0.7343199999999968,DA&FW
Sugarcane,All India,country,2015-16,Kharif,49.27,-2.756319595482744,-1.3965665000000058,DA&FW
Sugarcane,All India,country,2016-17,Kharif,44.36,-9.974041952897306,-4.914333499999991,DA&FW
Sugarcane,All India,country,2017-18,Kharif,47.37,6.794282287535862,3.013732999999995,DA&FW
Sugarcane,All India,country,2018-19,Kharif,50.61,6.840267260097642,3.2402779000000095,DA&FW
Sugarcane,All India,country,2019-20,Kharif,46.03,-9.057637609126688,-4.584152899999999,DA&FW
Sugarcane,All India,country,2020-21,Kharif,48.51,5.400232621206975,2.4855519999999913,DA&FW
Sugarcane,All India,country,2021-22,Kharif,51.75,6.682364537990451,3.2417693999999955,DA&FW
Sugarcane,All India,country,2022-23,Kharif,58.85,13.716963343376568,7.099088100000003,DA&FW
Sugarcane,All India,country,2023-24,Kharif,57.4,-2.4760184742817817,-1.4572153000000014,DA&FW
Sugarcane,All India,country,2024-25,Kharif,54.5,-5.046751014612473,-2.89663079999999,DA&FW
Sugarcane,All India,country,2025-26,Kharif,58.84,7.9642940288060045,4.340486199999994,DA&FW
Groundnut,All India,country,1980-81,Kharif,59.08,,,DA&FW
Groundnut,All India,country,1981-82,Kharif,63.74,7.8844916889535765,4.657999999999994,DA&FW
Groundnut,All India,country,1982-83,Kharif,62.0,-2.7315802686080075,-1.7409999999999997,DA&FW
Groundnut,All India,country,1983-84,Kharif,63.23,1.992096136785224,1.2349999999999994,DA&FW
Groundnut,All India,country,1984-85,Kharif,60.18,-4.818915071959508,-3.046999999999997,DA&FW
Groundnut,All India,country,1985-86,Kharif,62.43,3.738597278301181,2.25,DA&FW
Groundnut,All India,country,1986-87,Kharif,60.41,-3.2370701391892123,-2.021000000000001,DA&FW
Groundnut,All India,country,1987-88,Kharif,56.71,-6.121300403893267,-3.6980000000000004,DA&FW
Groundnut,All India,country,1988-89,Kharif,70.24,23.84596395951617,13.524000000000001,DA&FW
Groundnut,All India,country,1989-90,Kharif,74.02,5.3902445969418284,3.7860000000000014,DA&FW
Groundnut,All India,country,1990-91,Kharif,68.24,-7.820436615151845,-5.7890000000000015,DA&FW
Groundnut,All India,country,1991-92,Kharif,72.69,6.530372975745589,4.456000000000003,DA&FW
Groundnut,All India,country,1992-93,Kharif,68.73,-5.44909273500158,-3.9609999999999985,DA&FW
Groundnut,All India,country,1993-94,Kharif,70.15,2.064600611086857,1.418999999999997,DA&FW
Groundnut,All India,country,1994-95,Kharif,66.35,-5.411338721863471,-3.7960000000000065,DA&FW
Groundnut,All India,country,1995-96,Kharif,65.25,-1.662321221346427,-1.1029999999999944,DA&FW
Groundnut,All India,country,1996-97,Kharif,64.57,-1.045210727969352,-0.6820000000000022,DA&FW
Groundnut,All India,country,1997-98,Kharif,60.65,-6.069570065667199,-3.918999999999997,DA&FW
Groundnut,All India,country,1998-99,Kharif,58.86,-2.9464624313673746,-1.786999999999999,DA&FW
Groundnut,All India,country,1999-00,Kharif,58.09,-1.314940029220891,-0.7740000000000009,DA&FW
Groundnut,All India,country,2000-01,Kharif,57.05,-1.783500895193502,-1.0360000000000014,DA&FW
Groundnut,All India,country,2001-02,Kharif,54.61,-4.280266453004302,-2.441977616768014,DA&FW
Groundnut,All India,country,2002-03,Kharif,52.72,-3.453619502289551,-1.886022383231989,DA&FW
Groundnut,All India,country,2003-04,Kharif,51.96,-1.445262119717763,-0.7619999999999933,DA&FW
Groundnut,All India,country,2004-05,Kharif,57.86,11.356375813094175,5.900999999999996,DA&FW
Groundnut,All India,country,2005-06,Kharif,57.4,-0.8053505694485269,-0.4660000000000011,DA&FW
Groundnut,All India,country,2006-07,Kharif,47.8,-16.715159328884788,-9.594000000000001,DA&FW
Groundnut,All India,country,2007-08,Kharif,53.12,11.124824801790693,5.318000000000005,DA&FW
Groundnut,All India,country,2008-09,Kharif,52.86,-0.4950961013535235,-0.26300000000000523,DA&FW
Groundnut,All India,country,2009-10,Kharif,46.16,-12.671648567861052,-6.697979999999994,DA&FW
Groundnut,All India,country,2010-11,Kharif,49.77,7.829805966288565,3.6142399999999952,DA&FW
Groundnut,All India,country,2011-12,Kharif,43.16,-13.287141042442943,-6.6135761290322606,DA&FW
